Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Customer Segment
AA-10315,184,5,5563.56,2,2,5,225,At Risk,Potential Loyalist
AA-10375,19,9,1056.39,5,5,2,552,Potential Loyalist,Potential Loyalist
AA-10480,259,4,1790.5120000000002,1,1,3,113,At Risk,Potential Loyalist
AA-10645,55,6,5086.9349999999995,3,3,5,335,Regular Customer,Loyal Customer
AB-10015,415,3,886.156,1,1,1,111,At Risk,Lost Customer
AB-10060,54,8,7755.62,3,4,5,345,Regular Customer,Loyal Customer
AB-10105,41,10,14473.570999999998,4,5,5,455,Potential Loyalist,High Value Customer
AB-10150,41,5,966.71,4,2,2,422,Potential Loyalist,New Customer
AB-10165,25,8,1113.838,5,4,2,542,Potential Loyalist,Potential Loyalist
AB-10255,166,9,914.5319999999999,2,5,1,251,At Risk,Potential Loyalist
AB-10600,50,4,1515.862,4,1,2,412,Potential Loyalist,New Customer
AC-10420,232,3,925.8,1,1,1,111,At Risk,Lost Customer
AC-10450,11,7,5527.846,5,3,5,535,Potential Loyalist,Loyal Customer
AC-10615,6,5,2537.6859999999997,5,2,3,523,Potential Loyalist,Potential Loyalist
AC-10660,282,5,657.316,1,2,1,121,At Risk,Lost Customer
AD-10180,29,8,6106.88,4,4,5,445,Potential Loyalist,High Value Customer
AF-10870,41,7,2052.908,4,3,3,433,Potential Loyalist,Loyal Customer
AF-10885,415,4,861.565,1,1,1,111,At Risk,Lost Customer
AG-10270,278,5,2582.898,1,2,3,123,At Risk,Potential Loyalist
AG-10300,118,4,367.548,2,1,1,211,At Risk,Lost Customer
AG-10330,8,5,660.972,5,2,1,521,Potential Loyalist,New Customer
AG-10390,114,5,200.945,2,2,1,221,At Risk,Lost Customer
AG-10495,78,8,2356.855,3,4,3,343,Regular Customer,Loyal Customer
AG-10525,845,4,1455.038,1,1,2,112,At Risk,Lost Customer
AG-10675,97,7,3489.0396000000005,3,3,4,334,Regular Customer,Loyal Customer
AG-10765,77,4,170.584,3,1,1,311,Regular Customer,Potential Loyalist
AG-10900,96,10,4510.797,3,5,5,355,Regular Customer,Loyal Customer
AH-10030,12,7,1744.7,5,3,3,533,Potential Loyalist,Loyal Customer
AH-10075,34,10,3250.337,4,5,4,454,Potential Loyalist,High Value Customer
AH-10120,60,7,1735.5140000000001,3,3,2,332,Regular Customer,Potential Loyalist
AH-10195,55,4,1587.452,3,1,2,312,Regular Customer,Potential Loyalist
AH-10210,6,9,4805.344,5,5,5,555,High Value Customer,High Value Customer
AH-10465,230,5,2495.3916,1,2,3,123,At Risk,Potential Loyalist
AH-10585,21,4,738.504,5,1,1,511,Potential Loyalist,New Customer
AH-10690,410,12,7888.294,1,5,5,155,At Risk,At Risk Customer
AI-10855,13,10,4375.786,5,5,5,555,High Value Customer,High Value Customer
AJ-10780,75,7,4867.344,3,3,5,335,Regular Customer,Loyal Customer
AJ-10795,166,7,4501.391,2,3,5,235,At Risk,At Risk Customer
AJ-10945,85,7,1839.24,3,3,3,333,Regular Customer,Loyal Customer
AJ-10960,74,3,629.2479999999999,3,1,1,311,Regular Customer,Potential Loyalist
AM-10360,28,5,814.012,4,2,1,421,Potential Loyalist,New Customer
AM-10705,162,8,5664.022,2,4,5,245,At Risk,At Risk Customer
AO-10810,501,1,161.28,1,1,1,111,At Risk,Lost Customer
AP-10720,41,8,1638.554,4,4,2,442,Potential Loyalist,Potential Loyalist
